UTM_x,UTM_y,S2004,S2005,S2006,S2007,S2008,S2009,S2010,S2011,S2012
570583.7071,1677318.236,0,0,0,0,0,0,0,0,0
570583.46,1677323.775,0,0,0,0,0,0,0,NA,NA
570592.3486,1677319.099,0,0,0,0,NA,NA,NA,NA,NA
570594.7247,1677319.886,0,0,0,0,0,0,0,0,0
570596.9716,1677320.852,0,0,0,0,0,NA,NA,NA,NA
570611.0581,1677328.815,0,0,0,NA,NA,NA,NA,NA,NA
570620.6486,1677322.955,0,0,0,NA,NA,NA,NA,NA,NA
570623.4476,1677324.451,0,0,0,NA,NA,NA,NA,NA,NA
570622.6682,1677328.408,0,0,0,NA,NA,NA,NA,NA,NA
570632.6373,1677328.719,0,0,0,0,0,0,0,0,0
570640.1407,1677326.317,0,0,0,NA,NA,NA,NA,NA,NA
570643.2538,1677327.169,0,0,0,NA,NA,NA,NA,NA,NA
570645.7579,1677328.733,0,0,0,0,0,0,0,0,0
570651.6043,1677325.226,0,0,0,NA,NA,NA,NA,NA,NA
570657.3329,1677327.077,0,0,0,0,0,0,0,NA,NA
570655.2426,1677332.932,0,0,0,0,0,0,0,0,0
570659.4564,1677323.909,0,0,0,NA,NA,NA,NA,NA,NA
570668.2909,1677331.885,0,0,0,0,NA,NA,NA,NA,NA
570675.431,1677325.616,0,0,0,NA,NA,NA,NA,NA,NA
570675.0531,1677318.967,0,0,0,NA,NA,NA,NA,NA,NA
570672.982,1677324.248,0,0,0,0,1,1,NA,NA,NA
570665.7032,1677324.081,0,0,0,0,0,0,1,0,0
570666.0815,1677316.923,0,0,0,0,0,NA,NA,NA,NA
570665.4692,1677320.033,0,0,0,NA,NA,NA,NA,NA,NA
570661.9351,1677317.034,0,0,0,0,0,0,1,1,1
570659.8314,1677319.149,0,0,0,NA,NA,NA,1,NA,NA
570655.2442,1677318.166,0,0,0,NA,NA,NA,0,1,1
570654.5563,1677322.611,0,0,0,0,0,0,0,0,1
570654.8259,1677314.102,0,0,0,NA,NA,NA,NA,NA,NA
570653.01,1677321.419,0,0,0,0,0,0,0,0,0
570649.2412,1677314.852,0,0,0,NA,NA,NA,NA,NA,NA
570644.1465,1677321.207,0,0,0,0,0,NA,NA,NA,NA
570644.3207,1677315.086,0,0,0,0,0,0,0,0,0
570642.0744,1677313.64,0,0,0,0,0,0,0,0,NA
570639.8568,1677318.237,0,0,0,0,0,0,0,NA,NA
570632.6536,1677316.735,1,0,0,NA,NA,NA,NA,NA,NA
570634.1839,1677316.104,1,0,0,0,NA,NA,NA,NA,NA
570634.0124,1677320.307,0,0,0,NA,NA,NA,NA,NA,NA
570626.2775,1677316.744,0,0,0,NA,NA,NA,NA,NA,NA
570628.6973,1677312.548,0,0,0,0,0,0,0,0,0
570622.5784,1677313.155,0,0,0,0,0,NA,NA,NA,NA
570624.4528,1677316.965,0,0,0,0,0,0,0,0,0
570620.101,1677319.071,0,0,0,0,NA,NA,NA,NA,NA
570618.6348,1677313.188,0,0,0,0,0,0,0,NA,NA
570615.4965,1677317.224,0,0,0,0,0,0,0,0,0
570614.7071,1677315.045,0,0,0,0,0,0,0,0,0
570607.0181,1677318.389,0,0,0,0,0,0,0,0,0
570604.4984,1677328.329,0,0,0,NA,NA,NA,NA,NA,NA
